date,ticker,price
2024-01-01,AAPL,149.82070404234454
2024-01-02,AAPL,151.74935048077458
2024-01-03,AAPL,153.0811970703993
2024-01-04,AAPL,152.87476869067459
2024-01-05,AAPL,154.89937973237846
2024-01-06,AAPL,155.25124270305457
2024-01-07,AAPL,154.6671337961407
2024-01-08,AAPL,155.08871450400807
2024-01-09,AAPL,155.20440888925353
2024-01-10,AAPL,153.36854528243504
2024-01-11,AAPL,153.38461644589336
2024-01-12,AAPL,153.23210720013194
2024-01-13,AAPL,153.19336527818797
2024-01-14,AAPL,154.3940739971485
2024-01-15,AAPL,153.45612939590478
2024-01-16,AAPL,153.01738963688368
2024-01-17,AAPL,150.59284962965486
2024-01-18,AAPL,150.93610140391885
2024-01-19,AAPL,148.97374688233577
2024-01-20,AAPL,149.0989523327762
